question,label
if - then command,0
'nee, wat is het?',0
door Print("Hallo"),0
'print("hallo, ik heet guus")',0
Guus = naam,0
ik heb geen oplossing hiervoor,0
print("Hoe heet jij?")  antwoord = naam,0
'naam = input("hoe heet jij?")  print("Hallo", naam)',0
print("Hallo +" naam),0
'hobby = input("Wat is je hobby?")  print("Mijn favoriete bezigheid is ook,", hobby)',0
hoe doe je dat?,0
dat werkt nog steeds niet,0
voornaam = kees,0
It doesnt do anything,0
No,0
no,0
'Let''s do it about a piece of history',0
WW2,0
Isn"t that your job?,0
school,0
I meant with code...,0
maybe a little less complicated?,0
deze heb ik dus goed gedaan,0
niet precies hoe ik het deed maar ik denk dat ie klopt,0
wat moet ik waar invullen,0
hij gaat als ik dat doe naar de volgende cel,0
afgeronde som,0
ja dat denk ik wel,0
hoe gebruik je pi in python?,1
Hoe doe je een wortel in python?,1
hoe verrander je een string naar een inrt,1
how do you randomize an answer in code,1
== meaning?,1
hoe je nauwkeurig pi kunt gebruiken zonder dit getal helemaal uit te typen.,1
wat is een variable,1
wat wordt er bedoeld met console?,1
wat doet type in een code,1
is integer voor getallen of stukjes tekst?,1
'wat betekend een error'', 1
hoe moet ik programmeren''',1
variabelen in Python hebben een type wat is een type,1
hoe kun je pi nauwkeurig berekenen zonder het getal uit te typen,1
hoe kan je de wortel nemen in python,1
hoe gebruik je pi nauwkeurig zonder alles uit te schrijven,1
hoe kwadrateer je getallen?,1
Is there any way to use the if else function to make it so if I do input in the console thats equal to the number 2 then it will print something and if the number is equal or higher then 11 it will output something else but if its another number then that it will output again something else and if I input something except numbers it will give me a custom error message thats gonna be printed in the console,1
What python code can i put in a file on a website and then run that will help me test for vulnerabilities on my own website,1
wat is een float,1
wat is afkorting van float,1
hoe vermedigvuldig je,1
how does len() work,1
how do you swap a item from a list with an input,1
how to print a list without brackets,1
wat is een boolean operator,1
leg elif uit,1
ik wil dat je niet gelijk het antwoord geeft wat moet ik doen: Maak een while loop die alle even getallen van 2 tot en met 20 print.,1
'hoe doe je dit dan in de code: Binnen de lus, controleer of getal een even getal is (dit kun je doen door te checken of het restant van getal gedeeld door 2 gelijk is aan 0).',1
wat  betekent die % okalweer,1
how do i print hello world in golang,1
how can i make a new go file at root level in cmd?,1
and in linux?,1
'ik heb deze code in de cel staan maar hij gaat naar de volgende. Naam =  input("wat is je naam?")nnleeftijd = int(input("wat is je leeftijd?"))nnprint(f"Hallo {Naam}, over 10 jaar ben je {leeftijd + 10} jaar oud") weet jij hoe ik het op kan lossen dat hij wel de code uitvoert',1
hoe haal je een naam uit een lijst?,1
hoe maak je een input waar iemand een getal en een tekst in kan schrijven,1
hoe maak je een input waar een gebruiker alles in kan schrijven wat hij wilt,1
hoe maak je een input waar een gebruiker zowel tekst als cijfers in kan typen in hetzelfde stukje,1
kan je dat uitleggen,1
Hoe kan je zeggen in een code dat de code moet stoppen met runnen,1
